Time_s,Truth_kph,RawMT_kph,RawValid,Method,Kalman_kph,KalmanAccel_kph_s
0,0,NaN,0,T,0,0
0.001,0.00233937543719244,NaN,0,T,0,0
0.002,0.00467872109610078,NaN,0,T,0,0
0.003,0.00701800719901693,NaN,0,T,0,0
0.004,0.0093572039693849,NaN,0,T,0,0
0.005,0.0116962816323768,NaN,0,T,0,0
0.006,0.0140352104154687,NaN,0,T,0,0
0.007,0.0163739605490169,NaN,0,T,0,0
0.008,0.0187125022668332,NaN,0,T,0,0
0.009,0.0210508058067615,NaN,0,T,0,0
0.01,0.0233888414112527,0,1,T,0,0
0.011,0.0257265793279411,NaN,0,T,0,0
0.012,0.0280639898102193,NaN,0,T,0,0
0.013,0.0304010431178141,NaN,0,T,0,0
0.014,0.0327377095173615,NaN,0,T,0,0
0.015,0.0350739592829823,NaN,0,T,0,0
0.016,0.0374097626968563,NaN,0,T,0,0
0.017,0.0397450900497983,NaN,0,T,0,0
0.018,0.0420799116418317,NaN,0,T,0,0
0.019,0.0444141977827639,NaN,0,T,0,0
0.02,0.0467479187927601,0,1,T,0,0
0.021,0.0490810450029176,NaN,0,T,0,0
0.022,0.0514135467558399,NaN,0,T,0,0
0.023,0.05374539440621,NaN,0,T,0,0
0.024,0.0560765583213644,NaN,0,T,0,0
0.025,0.0584070088818658,NaN,0,T,0,0
0.026,0.0607367164820765,NaN,0,T,0,0
0.027,0.0630656515307307,NaN,0,T,0,0
0.028,0.0653937844515074,NaN,0,T,0,0
0.029,0.0677210856836021,NaN,0,T,0,0
0.03,0.0700475256822989,0,1,T,0,0
0.031,0.0723730749195418,NaN,0,T,0,0
0.032,0.0746977038845062,NaN,0,T,0,0
0.033,0.0770213830841695,NaN,0,T,0,0
0.034,0.0793440830438819,NaN,0,T,0,0
0.035,0.0816657743079362,NaN,0,T,0,0
0.036,0.0839864274401379,NaN,0,T,0,0
0.037,0.0863060130243745,NaN,0,T,0,0
0.038,0.0886245016651847,NaN,0,T,0,0
0.039,0.0909418639883266,NaN,0,T,0,0
0.04,0.0932580706413466,0,1,T,0,0
0.041,0.0955730922941466,NaN,0,T,0,0
0.042,0.0978868996395517,NaN,0,T,0,0
0.043,0.100199463393877,NaN,0,T,0,0
0.044,0.102510754297494,NaN,0,T,0,0
0.045,0.104820743115397,NaN,0,T,0,0
0.046,0.107129400637768,NaN,0,T,0,0
0.047,0.109436697680543,NaN,0,T,0,0
0.048,0.111742605085974,NaN,0,T,0,0
0.049,0.114047093723197,NaN,0,T,0,0
0.05,0.11635013448879,0,1,T,0,0
0.051,0.118651698307342,NaN,0,T,0,0
0.052,0.120951756132013,NaN,0,T,0,0
0.053,0.123250278945092,NaN,0,T,0,0
0.054,0.125547237758565,NaN,0,T,0,0
0.055,0.127842603614673,NaN,0,T,0,0
0.056,0.130136347586468,NaN,0,T,0,0
0.057,0.132428440778382,NaN,0,T,0,0
0.058,0.134718854326774,NaN,0,T,0,0
0.059,0.137007559400501,NaN,0,T,0,0
0.06,0.139294527201464,NaN,0,T,0,0
0.061,0.141579728965174,0,1,T,0,0
0.062,0.143863135961303,NaN,0,T,0,0
0.063,0.146144719494243,NaN,0,T,0,0
0.064,0.14842445090366,NaN,0,T,0,0
0.065,0.150702301565045,NaN,0,T,0,0
0.066,0.152978242890276,NaN,0,T,0,0
0.067,0.155252246328162,NaN,0,T,0,0
0.068,0.157524283365,NaN,0,T,0,0
0.069,0.159794325525128,NaN,0,T,0,0
0.07,0.162062344371471,0,1,T,0,0
0.071,0.164328311506095,NaN,0,T,0,0
0.072,0.166592198570755,NaN,0,T,0,0
0.073,0.168853977247444,NaN,0,T,0,0
0.074,0.171113619258939,NaN,0,T,0,0
0.075,0.173371096369352,NaN,0,T,0,0
0.076,0.175626380384672,NaN,0,T,0,0
0.077,0.177879443153312,NaN,0,T,0,0
0.078,0.180130256566655,NaN,0,T,0,0
0.079,0.182378792559595,NaN,0,T,0,0
0.08,0.184625023111081,0,1,T,0,0
0.081,0.186868920244661,NaN,0,T,0,0
0.082,0.189110456029021,NaN,0,T,0,0
0.083,0.191349602578526,NaN,0,T,0,0
0.084,0.193586332053757,NaN,0,T,0,0
0.085,0.195820616662056,NaN,0,T,0,0
0.086,0.198052428658056,NaN,0,T,0,0
0.087,0.200281740344222,NaN,0,T,0,0
0.088,0.202508524071388,NaN,0,T,0,0
0.089,0.204732752239287,NaN,0,T,0,0
0.09,0.206954397297089,0,1,T,0,0
0.091,0.209173431743933,NaN,0,T,0,0
0.092,0.211389828129458,NaN,0,T,0,0
0.093,0.213603559054336,NaN,0,T,0,0
0.094,0.215814597170799,NaN,0,T,0,0
0.095,0.21802291518317,NaN,0,T,0,0
0.096,0.220228485848392,NaN,0,T,0,0
0.097,0.222431281976553,NaN,0,T,0,0
0.098,0.224631276431413,NaN,0,T,0,0
0.099,0.226828442130928,NaN,0,T,0,0
0.1,0.229022752047775,0,1,T,0,0
0.101,0.231214179209875,NaN,0,T,0,0
0.102,0.233402696700913,NaN,0,T,0,0
0.103,0.23558827766086,NaN,0,T,0,0
0.104,0.237770895286493,NaN,0,T,0,0
0.105,0.239950522831914,NaN,0,T,0,0
0.106,0.242127133609063,NaN,0,T,0,0
0.107,0.24430070098824,NaN,0,T,0,0
0.108,0.246471198398618,NaN,0,T,0,0
0.109,0.248638599328755,NaN,0,T,0,0
0.11,0.25080287732711,0,1,T,0,0
0.111,0.252964006002553,NaN,0,T,0,0
0.112,0.255121959024874,NaN,0,T,0,0
0.113,0.257276710125297,NaN,0,T,0,0
0.114,0.259428233096983,NaN,0,T,0,0
0.115,0.261576501795539,NaN,0,T,0,0
0.116,0.263721490139527,NaN,0,T,0,0
0.117,0.265863172110961,NaN,0,T,0,0
0.118,0.268001521755818,NaN,0,T,0,0
0.119,0.270136513184536,NaN,0,T,0,0
0.12,0.272268120572516,0,1,T,0,0
0.121,0.27439631816062,NaN,0,T,0,0
0.122,0.276521080255672,NaN,0,T,0,0
0.123,0.278642381230952,NaN,0,T,0,0
0.124,0.280760195526695,NaN,0,T,0,0
0.125,0.282874497650582,NaN,0,T,0,0
0.126,0.284985262178236,NaN,0,T,0,0
0.127,0.287092463753712,NaN,0,T,0,0
0.128,0.289196077089989,NaN,0,T,0,0
0.129,0.291296076969456,NaN,0,T,0,0
0.13,0.293392438244407,0,1,T,0,0
0.131,0.295485135837516,NaN,0,T,0,0
0.132,0.297574144742335,NaN,0,T,0,0
0.133,0.299659440023766,NaN,0,T,0,0
0.134,0.301740996818554,NaN,0,T,0,0
0.135,0.303818790335758,NaN,0,T,0,0
0.136,0.305892795857239,NaN,0,T,0,0
0.137,0.307962988738132,NaN,0,T,0,0
0.138,0.310029344407327,NaN,0,T,0,0
0.139,0.312091838367941,NaN,0,T,0,0
0.14,0.314150446197794,0,1,T,0,0
0.141,0.316205143549881,NaN,0,T,0,0
0.142,0.318255906152843,NaN,0,T,0,0
0.143,0.320302709811436,NaN,0,T,0,0
0.144,0.322345530407,NaN,0,T,0,0
0.145,0.324384343897924,NaN,0,T,0,0
0.146,0.326419126320113,NaN,0,T,0,0
0.147,0.328449853787448,NaN,0,T,0,0
0.148,0.330476502492255,NaN,0,T,0,0
0.149,0.332499048705758,NaN,0,T,0,0
0.15,0.334517468778542,0,1,T,0,0
0.151,0.336531739141009,NaN,0,T,0,0
0.152,0.338541836303837,NaN,0,T,0,0
